game 3, tick 33: sent board, bot=R, enemy=L
game 3, tick 34: sent board, bot=R, enemy=R
game 3, tick 35: sent board, bot=S, enemy=S
game 3, tick 36: sent board, bot=S, enemy=S
game 3, tick 37: sent board, bot=S, enemy=S
game 3, tick 38: sent board, bot=S, enemy=S
game 3, tick 39: sent board, bot=S, enemy=S
game 3, tick 40: sent board, bot=S, enemy=S
game 3, tick 41: sent board, bot=S, enemy=S
game 3, tick 42: sent board, bot=S, enemy=S
game 3, tick 43: sent board, bot=S, enemy=S
game 3, tick 44: sent board, bot=S, enemy=S
game 3, tick 45: sent board, bot=S, enemy=S
game 3, tick 46: sent board, bot=S, enemy=S
game 3, tick 47: sent board, bot=S, enemy=S
game 3, tick 48: sent board, bot=S, enemy=S
game 3, tick 49: sent board, bot=S, enemy=S
game 3, tick 50: sent board, bot=S, enemy=S
game 3, tick 51: sent board, bot=S, enemy=S
game 3, tick 52: sent board, bot=S, enemy=S
game 3, tick 53: sent board, bot=S, enemy=S
game 3, tick 54: sent board, bot=S, enemy=S
game 3, tick 55: sent board, bot=S, enemy=S
game 3, tick 56: sent board, bot=S, enemy=S
game 3, tick 57: sent board, bot=S, enemy=S
game 3, tick 58: sent board, bot=S, enemy=S
game 3, tick 59: sent board, bot=S, enemy=S
game 3, tick 60: sent board, bot=S, enemy=S
game 3, tick 61: sent board, bot=S, enemy=S
game 3, tick 62: sent board, bot=S, enemy=S
game 3, tick 63: sent board, bot=S, enemy=S
game 3, tick 64: sent board, bot=S, enemy=S
game 3, tick 65: sent board, bot=S, enemy=S
game 3, tick 66: sent board, bot=S, enemy=S
game 3, tick 67: sent board, bot=S, enemy=S
game 3, tick 68: sent board, bot=S, enemy=S
game 3, tick 69: sent board, bot=S, enemy=S
game 3, tick 70: sent board, bot=S, enemy=S
game 3, tick 71: sent board, bot=S, enemy=S
game 3, tick 72: sent board, bot=S, enemy=S
game 3, tick 73: sent board, bot=S, enemy=S
game 3, tick 74: sent board, bot=S, enemy=S
game 3, tick 75: sent board, bot=S, enemy=S
game 3, tick 76: sent board, bot=S, enemy=S
game 3, tick 77: sent board, bot=S, enemy=S
game 3, tick 78: sent board, bot=S, enemy=S
game 3, tick 79: sent board, bot=S, enemy=S
game 3, tick 80: sent board, bot=S, enemy=S
game 3, tick 81: sent board, bot=S, enemy=S
game 3, tick 82: sent board, bot=S, enemy=S
game 3, tick 83: sent board, bot=S, enemy=S
game 3, tick 84: sent board, bot=S, enemy=S
game 3, tick 85: sent board, bot=S, enemy=S
game 3, tick 86: sent board, bot=S, enemy=S
game 3, tick 87: sent board, bot=S, enemy=S
game 3, tick 88: sent board, bot=S, enemy=S
game 3, tick 89: sent board, bot=S, enemy=S
game 3, tick 90: sent board, bot=S, enemy=S
game 3, tick 91: sent board, bot=S, enemy=S
game 3, tick 92: sent board, bot=S, enemy=S
game 3, tick 93: sent board, bot=S, enemy=S
game 3, tick 94: sent board, bot=S, enemy=S
game 3, tick 95: sent board, bot=S, enemy=S
game 3, tick 96: sent board, bot=S, enemy=S
game 3, tick 97: sent board, bot=S, enemy=S
game 3, tick 98: sent board, bot=S, enemy=S
game 3, tick 99: sent board, bot=S, enemy=S
game 3, tick 100: sent board, bot=S, enemy=S
game 3, tick 101: sent board, bot=S, enemy=S
game 3, tick 102: sent board, bot=S, enemy=S
game 3, tick 103: sent board, bot=S, enemy=S
game 3, tick 104: sent board, bot=S, enemy=S
game 3, tick 105: sent board, bot=S, enemy=S
game 3, tick 106: sent board, bot=S, enemy=S
game 3, tick 107: sent board, bot=S, enemy=S
game 3, tick 108: sent board, bot=S, enemy=S
game 3, tick 109: sent board, bot=S, enemy=S
game 3, tick 110: sent board, bot=S, enemy=S
game 3, tick 111: sent board, bot=S, enemy=S
game 3, tick 112: sent board, bot=S, enemy=S
game 3, tick 113: sent board, bot=S, enemy=S
game 3, tick 114: sent board, bot=S, enemy=S
game 3, tick 115: sent board, bot=S, enemy=S
game 3, tick 116: sent board, bot=S, enemy=S
game 3, tick 117: sent board, bot=S, enemy=S
game 3, tick 118: sent board, bot=S, enemy=S
game 3, tick 119: sent board, bot=S, enemy=S
